"Date","GSCPI","positiveGscpi"
1998-01-01,-1.09282970797946,69.4513266745763
1998-02-01,-0.461564165019375,99.3697398604711
1998-03-01,-0.0847979310519623,117.226326503033
1998-04-01,-0.143017991454696,114.467025219663
1998-05-01,-0.442288271489253,100.283308094304
1998-06-01,-0.749379014907886,85.7289452756393
1998-07-01,-0.926691078780471,77.3253571993625
1998-08-01,-0.890591887081527,79.0362545308744
1998-09-01,-0.897959141710493,78.6870883669784
1998-10-01,-0.67694901387885,89.1617173032083
1998-11-01,-0.847750842879229,81.0666775058864
1998-12-01,-0.598644723617788,92.8728973864317
1999-01-01,-0.264683537180159,108.700767092484
1999-02-01,0.0191290618942516,122.151877645192
1999-03-01,-0.2618472147964,108.83519271725
1999-04-01,-0.215418538709611,111.035649134252
1999-05-01,-0.348308084075908,104.73743696238
1999-06-01,-0.365082278875064,103.942435086452
1999-07-01,-0.613743950629551,92.15727950175
1999-08-01,-0.448303078021537,99.9982403140757
1999-09-01,-0.385534855439122,102.973098737932
1999-10-01,-0.126052710315774,115.27108350637
1999-11-01,-0.169802030667519,113.197613383562
1999-12-01,-0.200194436915577,111.757185376706
2000-01-01,-0.606458643292312,92.5025618279161
2000-02-01,-0.408808996043744,101.870036226567
2000-03-01,-0.283772782150639,107.796044943774
2000-04-01,0.135634090435365,127.673556471162
2000-05-01,0.287064802393344,134.850514979223
2000-06-01,0.0469591898178055,123.470868164346
2000-07-01,-0.00326248671535484,121.090644998098
2000-08-01,0.0932137770280463,125.663073754104
2000-09-01,0.0518311302807965,123.701770562575
2000-10-01,-0.499375212059298,97.577710276491
2000-11-01,-0.711112954089737,87.5425399369059
2000-12-01,-0.896458698849257,78.7582008646982
2001-01-01,-0.88441334963035,79.3290822297887
2001-02-01,-0.747778347220137,85.80480786277
2001-03-01,-0.557803282541887,94.8085504928669
2001-04-01,-0.966328771047325,75.4467549721377
2001-05-01,-1.08531959846416,69.8072633513929
2001-06-01,-0.666040824835005,89.6787037133857
2001-07-01,-0.785571002114348,84.01364996238
2001-08-01,-0.744077563697544,85.9802040518623
2001-09-01,-0.640854795761745,90.8723789150961
2001-10-01,-1.17327311210535,65.638764703535
2001-11-01,-1.38752646924573,55.4843684484612
2001-12-01,-1.11796419242853,68.260094396262
2002-01-01,-0.869891548041361,80.0173334181961
2002-02-01,-0.438538061366559,100.46104682444
2002-03-01,-0.41156309997056,101.739507291227
2002-04-01,-0.560558729092901,94.6779579247405
2002-05-01,-0.284721369816032,107.751087258323
2002-06-01,-0.607215301040411,92.4667005340432
2002-07-01,-0.925745076210993,77.3701923659009
2002-08-01,-1.05219630435264,71.3771199836102
2002-09-01,-1.11182464917256,68.5510739910664
2002-10-01,-1.20917004923653,63.9374530935858
2002-11-01,-0.716984199049189,87.264276162538
2002-12-01,-0.668310429117899,89.5711373184487
2003-01-01,-0.612150115257203,92.2328182758079
2003-02-01,-0.287548344837323,107.617104645623
2003-03-01,-0.30793376100141,106.650951319871
2003-04-01,-0.540281105029327,95.6390025151318
2003-05-01,-0.198007730543708,111.86082287994
2003-06-01,-0.104767579822131,116.279878198122
2003-07-01,0.0108965568964893,121.761703511937
2003-08-01,-0.0640078452485321,118.211658878883
2003-09-01,0.0613487102359979,124.152849974092
2003-10-01,-0.263387686453138,108.762183081224
2003-11-01,-0.41316807366703,101.663440623659
2003-12-01,-0.368705934057751,103.770694344053
2004-01-01,-0.505465449386869,97.2890675035748
2004-02-01,-0.382936509292471,103.096245636226
2004-03-01,-0.00777780557779045,120.876644444925
2004-04-01,0.405804542521655,140.47810648388
2004-05-01,0.352765281895444,137.964345781769
2004-06-01,0.41673702219096,140.996244132196
2004-07-01,-0.44330177201936,100.235273906533
2004-08-01,0.0756699685328775,124.831596545715
2004-09-01,-0.00526391900244235,120.99578843766
2004-10-01,-0.594488605108237,93.0698738762861
2004-11-01,-0.0440657743436751,119.156800149094
2004-12-01,0.110973346232556,126.50477679871
2005-01-01,-0.102311624224033,116.396276590478
2005-02-01,-0.113883369491143,115.847841371663
2005-03-01,-0.259964614541692,108.924417312054
2005-04-01,-1.29735616578467,59.7579303846877
2005-05-01,-0.961592287308136,75.6712374884696
2005-06-01,-0.919228280441649,77.6790515942394
2005-07-01,-0.861863447807794,80.3978199227491
2005-08-01,-0.476809680582224,98.6471887265972
2005-09-01,0.0833572006719998,125.195927832222
2005-10-01,-0.075913707525403,117.647388405219
2005-11-01,-0.624949470503886,91.6262012933766
2005-12-01,-0.686042842111227,88.7307213245239
2006-01-01,-0.353755510066296,104.479259807936
2006-02-01,-0.721954614696701,87.0287065980238
2006-03-01,-0.377085733179005,103.373539303167
2006-04-01,0.109028135551615,126.412584824136
2006-05-01,0.106833023589819,126.308548943523
2006-06-01,0.169123080002406,129.260744997795
2006-07-01,-0.0896451592150122,116.996595327926
2006-08-01,0.0701005760609654,124.567638870491
2006-09-01,-0.625578090035676,91.5964082861413
2006-10-01,-0.498022512693482,97.6418205688935
2006-11-01,-0.219256156575792,110.853767771883
2006-12-01,-0.448265949411691,100
2007-01-01,-0.857158538481527,80.6208059906491
2007-02-01,-0.706822173499122,87.74589864709
2007-03-01,-0.581841451793057,93.6692773487687
2007-04-01,-0.812761755833894,82.7249621610426
2007-05-01,-0.405433917659863,102.029995835878
2007-06-01,-0.36528270415771,103.932936062648
2007-07-01,-0.422520212263229,101.220202196006
2007-08-01,-0.100070306352196,116.502502369658
2007-09-01,-0.0351530497005645,119.579212842862
2007-10-01,-0.606812337183727,92.4857987396996
2007-11-01,-0.482876590714394,98.3596515306894
